idade,genero,altura,peso,is_alto,imc,imc_classification,metabolic_rate
32,M,1.857,119,False,34.50826733989686,2,5058.193
61,F,1.825,87,False,26.121223494088948,1,2254.876
60,F,1.76,106,False,34.22004132231405,2,2497.404
67,F,1.837,69,False,20.447055609175575,0,2047.686
60,F,1.948,101,True,26.61604172552062,1,2660.989
31,F,1.888,128,False,35.90922148807814,3,3786.404
41,M,1.65,75,False,27.548209366391188,1,3769.185
23,F,1.934,73,True,19.516858823063902,0,7545.005
28,F,1.85,103,False,30.094959824689553,2,4877.188
50,M,1.986,95,True,24.086024122533466,0,3262.64
69,F,1.776,87,False,27.582481129778426,1,2128.043
67,F,1.801,101,False,31.13823186020722,2,2210.469
21,M,1.799,103,False,31.825475273305134,2,8299.123
65,M,1.856,94,False,27.2880127824019,1,2097.79
55,F,1.751,93,False,30.332671124373416,2,2283.602
30,F,1.835,128,False,38.013497761509846,3,4332.308
48,F,1.91,131,True,35.90910336887695,3,2997.115
55,M,1.73,104,False,34.74890574359317,2,2573.408
53,M,1.886,78,False,21.928616169374383,0,3486.86
66,M,1.669,81,False,29.078523141299005,1,2416.398
69,M,1.956,129,True,33.71723938926318,2,3151.232
28,M,1.827,92,False,27.56200027022744,1,6379.807
31,M,1.858,127,False,36.78851873781199,3,5066.442
40,M,1.823,96,False,28.886697645643874,1,3928.486
24,F,1.897,124,False,34.45775853948012,2,6787.047
26,F,1.944,72,True,19.051973784484073,0,4548.879
63,M,1.675,85,False,30.296279795054577,2,2159.302
56,M,1.773,106,False,33.720064297164114,2,3070.337
70,M,1.834,120,False,35.67652805542705,3,2588.902
22,F,1.872,106,False,30.247826722185692,2,6487.665
34,M,1.859,78,False,22.570221601959098,0,4875.464
38,M,1.869,124,False,35.49793439237413,3,4302.539
68,M,1.943,108,True,28.607384572514288,1,2448.41
22,F,1.779,71,False,22.433986415115328,0,6078.386
39,F,1.873,97,False,27.650066459927785,1,4366.503
34,F,1.816,109,False,33.051776669448266,2,3107.776
57,F,1.906,98,True,26.97616958211161,1,2313.493
30,M,1.769,116,False,37.06827048716975,3,6370.208
33,F,1.715,86,False,29.239517547960457,1,4375.558
23,F,1.734,97,False,32.26068227684588,2,5001.363
54,M,1.799,78,False,24.100845352600004,0,3010.724
27,M,1.839,98,False,28.977613610725978,1,6774.269
40,M,2.037,89,True,21.449044420970996,0,5098.905
54,M,1.917,84,True,22.857833257004497,0,2951.179
23,M,1.855,84,False,24.411330926104867,0,6908.846
55,F,1.756,66,False,21.403998526367133,0,2206.27
33,M,1.884,78,False,21.97519845294603,0,5127.068
