cycle,state,dem_poll_avg,dem_poll_avg_margin,incumbent_party,incumbent_running,party_winner
1976,California,42.797994,-3.270221999999997,republican,1,republican
1976,Colorado,42.180101,-1.3731909999999985,republican,1,republican
1976,Connecticut,41.698014,-1.4696539999999985,republican,1,republican
1976,Delaware,33.370748,2.4453219999999973,republican,1,democrat
1976,Georgia,59.796546,29.37976,republican,1,democrat
1976,Idaho,28.532182,-18.699278999999997,republican,1,republican
1976,Illinois,46.568122,-1.5707750000000047,republican,1,republican
1976,Indiana,44.115426,0.9120979999999932,republican,1,republican
1976,Iowa,44.396444,-1.6251549999999997,republican,1,republican
1976,Kansas,41.301737,-4.802531999999999,republican,1,republican
1976,Maine,39.287709,-2.4188720000000004,republican,1,republican
1976,Maryland,37.996590000000005,7.9798820000000035,republican,1,democrat
1976,Massachusetts,50.399871000000005,14.428559000000009,republican,1,democrat
1976,Michigan,41.721918,-3.3599999999999994,republican,1,republican
1976,Minnesota,50.399871000000005,14.114422000000005,republican,1,democrat
1976,Missouri,46.088928,2.2427350000000037,republican,1,democrat
1976,Nebraska,33.370748,-19.654472,republican,1,republican
1976,New Jersey,37.091361,-7.554365000000004,republican,1,republican
1976,New York,49.313474,4.962136999999999,republican,1,democrat
1976,North Carolina,41.196529,0.6783209999999968,republican,1,democrat
1976,Ohio,53.398833,11.390884999999995,republican,1,democrat
1976,Oregon,43.190446,2.6719230000000067,republican,1,republican
1976,South Carolina,48.704338,10.675171,republican,1,democrat
1976,South Dakota,43.200283,1.2656049999999937,republican,1,republican
1976,Utah,34.506819,-20.900797000000004,republican,1,republican
1976,Washington,33.270395,1.5366590000000038,republican,1,republican
1980,Alabama,40.321613,-4.547308999999999,democrat,1,republican
1980,Arizona,21.787392,-23.387207,democrat,1,republican
1980,Arkansas,43.983228,3.658324000000008,democrat,1,republican
1980,California,28.010388,-14.065117999999998,democrat,1,republican
1980,Colorado,24.913525,-25.041932000000003,democrat,1,republican
1980,Connecticut,32.831153,-3.5359300000000005,democrat,1,republican
1980,Delaware,36.74326,-6.423568000000003,democrat,1,republican
1980,Florida,36.81831,-7.679393000000005,democrat,1,republican
1980,Georgia,48.568402,12.246155000000002,democrat,1,democrat
1980,Hawaii,36.287027,5.260771000000002,democrat,1,democrat
